,VA,AV,BA,FI,HS,IM
90,0.0829699,0.20406047,0.11804553,0.03157771,0.42240784,0.14093864
91,0.23542714,0.15030344,0.05437595,0.07635762,0.19451267,0.2890231
92,0.14926471,0.09864225,0.047217924,0.31160328,0.05921638,0.33405548
93,0.06097572,0.24546845,0.2028063,0.25753093,0.1961685,0.037050087
94,0.13690877,0.099524364,0.18473424,0.04852581,0.46729502,0.06301185
95,0.28907514,0.047994994,0.25958332,0.23713195,0.09373783,0.072476774
96,0.25699303,0.108890854,0.045077745,0.13668719,0.24388447,0.20846666
97,0.119171575,0.1088998,0.22661553,0.28593314,0.12383508,0.13554491
98,0.36191118,0.07701844,0.100550085,0.07015388,0.31017768,0.08018874
99,0.19890147,0.16073163,0.046991087,0.24188235,0.11464804,0.23684536
100,0.24115248,0.05614948,0.07398382,0.4815782,0.04511461,0.10202145
101,0.121584065,0.14827208,0.3940504,0.0837267,0.093158804,0.159208
102,0.20597239,0.3225365,0.066855036,0.10475975,0.24456963,0.055306777
103,0.1520537,0.21713307,0.16736668,0.07832477,0.2527577,0.13236414
104,0.047125753,0.32275882,0.2066192,0.041895658,0.20034023,0.18126035
105,0.11823039,0.14477216,0.090224266,0.3729189,0.123845235,0.15000905
106,0.15354757,0.286656,0.18370493,0.05660986,0.2807587,0.038722925
107,0.14550827,0.21103975,0.08238429,0.1572951,0.11435063,0.28942198
108,0.17695503,0.16089195,0.26749748,0.04932891,0.07560936,0.26971722
109,0.050392997,0.28041792,0.25926057,0.07925209,0.111486696,0.21918978
110,0.17896895,0.23068425,0.16796461,0.14417465,0.25726905,0.02093851
111,0.2772366,0.052501637,0.17167985,0.26770526,0.066271,0.16460566
112,0.27272192,0.12875332,0.17885658,0.17084081,0.055554494,0.19327286
113,0.07358403,0.12036864,0.035187528,0.21598466,0.44934645,0.1055287
114,0.18806453,0.14918645,0.25332722,0.03127911,0.29680425,0.081338495
115,0.08821645,0.042795062,0.054637898,0.41523495,0.29325414,0.10586143
116,0.09059177,0.27564603,0.15250608,0.08668733,0.27191305,0.1226557
117,0.4188467,0.049215827,0.101681724,0.19568984,0.067816556,0.16674936
118,0.062464833,0.09874217,0.4579894,0.123309195,0.03439969,0.22309473
119,0.090552375,0.24937224,0.21738066,0.08057562,0.32451266,0.037606474
120,0.31285208,0.10552797,0.26060456,0.21462746,0.047929633,0.05845826
121,0.140327,0.047189567,0.029150192,0.2770102,0.10045021,0.4058728
122,0.07227228,0.29433328,0.14640887,0.14228149,0.304276,0.040428113
123,0.22298901,0.18337522,0.098104216,0.29843637,0.13363473,0.063460395
124,0.30333227,0.10847223,0.038951043,0.20027477,0.17148577,0.1774839
125,0.2236646,0.22672454,0.31905442,0.1078614,0.063523255,0.05917186
